[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************

### Creating new features  task: 0 ###
New features norm: 3.693
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 99.7%, forg=  0.0%| TAg acc= 99.7%, forg=  0.0% <<<
>>> Test on task  0 : loss=0.000 | TAw acc= 99.6%, forg=  0.0%| TAg acc= 99.6%, forg=  0.0% <<<
Save at ../results/mnist_evo_02.24/5x2/10k2_alpha=1000
************************************************************************************************************
Task  1
************************************************************************************************************
### Training model task: 1 ###
Epoch: 56, Total: 4.66, Push: 0.13, Pull: 3.78, Adapter: 0.001, Wd: 0.02 Old: 2.95 Old pull: 2.80 Old push: 0.15 New: 2.04 New pull: 1.80 New push: 0.24 
Epoch: 57, Total: 4.65, Push: 0.13, Pull: 3.76, Adapter: 0.001, Wd: 0.02 Old: 2.94 Old pull: 2.78 Old push: 0.15 New: 2.03 New pull: 1.79 New push: 0.24 
Epoch: 58, Total: 4.63, Push: 0.13, Pull: 3.75, Adapter: 0.001, Wd: 0.02 Old: 2.90 Old pull: 2.75 Old push: 0.15 New: 2.03 New pull: 1.79 New push: 0.24 
Epoch: 59, Total: 4.62, Push: 0.14, Pull: 3.73, Adapter: 0.001, Wd: 0.02 Old: 2.91 Old pull: 2.75 Old push: 0.15 New: 2.02 New pull: 1.77 New push: 0.25 
Epoch: 60, Total: 4.61, Push: 0.14, Pull: 3.71, Adapter: 0.001, Wd: 0.02 Old: 2.92 Old pull: 2.77 Old push: 0.15 New: 2.02 New pull: 1.77 New push: 0.24 
Epoch: 61, Total: 4.60, Push: 0.14, Pull: 3.70, Adapter: 0.001, Wd: 0.02 Old: 2.91 Old pull: 2.76 Old push: 0.15 New: 2.02 New pull: 1.78 New push: 0.25 
Epoch: 62, Total: 4.58, Push: 0.14, Pull: 3.68, Adapter: 0.001, Wd: 0.02 Old: 2.87 Old pull: 2.71 Old push: 0.16 New: 2.00 New pull: 1.75 New push: 0.25 
Epoch: 63, Total: 4.57, Push: 0.14, Pull: 3.66, Adapter: 0.001, Wd: 0.02 Old: 2.84 Old pull: 2.69 Old push: 0.16 New: 1.97 New pull: 1.72 New push: 0.25 
Epoch: 64, Total: 4.56, Push: 0.14, Pull: 3.65, Adapter: 0.001, Wd: 0.02 Old: 2.81 Old pull: 2.65 Old push: 0.16 New: 1.94 New pull: 1.69 New push: 0.25 
Epoch: 65, Total: 4.55, Push: 0.14, Pull: 3.63, Adapter: 0.001, Wd: 0.02 Old: 2.77 Old pull: 2.61 Old push: 0.16 New: 1.93 New pull: 1.67 New push: 0.25 
Epoch: 66, Total: 4.54, Push: 0.14, Pull: 3.62, Adapter: 0.001, Wd: 0.02 Old: 2.75 Old pull: 2.59 Old push: 0.16 New: 1.90 New pull: 1.64 New push: 0.26 
Epoch: 67, Total: 4.52, Push: 0.14, Pull: 3.60, Adapter: 0.001, Wd: 0.02 Old: 2.74 Old pull: 2.58 Old push: 0.16 New: 1.90 New pull: 1.64 New push: 0.26 
Epoch: 68, Total: 4.51, Push: 0.14, Pull: 3.59, Adapter: 0.001, Wd: 0.02 Old: 2.73 Old pull: 2.56 Old push: 0.16 New: 1.90 New pull: 1.64 New push: 0.26 
Epoch: 69, Total: 4.50, Push: 0.14, Pull: 3.57, Adapter: 0.001, Wd: 0.02 Old: 2.69 Old pull: 2.53 Old push: 0.17 New: 1.88 New pull: 1.61 New push: 0.26 
Epoch: 70, Total: 4.49, Push: 0.14, Pull: 3.55, Adapter: 0.001, Wd: 0.02 Old: 2.65 Old pull: 2.48 Old push: 0.17 New: 1.86 New pull: 1.59 New push: 0.27 
Epoch: 71, Total: 4.48, Push: 0.14, Pull: 3.54, Adapter: 0.001, Wd: 0.02 Old: 2.61 Old pull: 2.44 Old push: 0.17 New: 1.86 New pull: 1.58 New push: 0.27 
Epoch: 72, Total: 4.47, Push: 0.14, Pull: 3.52, Adapter: 0.001, Wd: 0.02 Old: 2.61 Old pull: 2.44 Old push: 0.17 New: 1.85 New pull: 1.58 New push: 0.28 
Epoch: 73, Total: 4.46, Push: 0.15, Pull: 3.51, Adapter: 0.001, Wd: 0.02 Old: 2.60 Old pull: 2.42 Old push: 0.17 New: 1.85 New pull: 1.57 New push: 0.28 
Epoch: 74, Total: 4.45, Push: 0.15, Pull: 3.50, Adapter: 0.001, Wd: 0.02 Old: 2.57 Old pull: 2.40 Old push: 0.18 New: 1.83 New pull: 1.55 New push: 0.28 
Epoch: 75, Total: 4.43, Push: 0.15, Pull: 3.48, Adapter: 0.001, Wd: 0.02 Old: 2.54 Old pull: 2.37 Old push: 0.18 New: 1.83 New pull: 1.55 New push: 0.28 
Epoch: 76, Total: 4.42, Push: 0.15, Pull: 3.47, Adapter: 0.001, Wd: 0.02 Old: 2.50 Old pull: 2.32 Old push: 0.18 New: 1.83 New pull: 1.54 New push: 0.29 
Epoch: 77, Total: 4.41, Push: 0.15, Pull: 3.45, Adapter: 0.001, Wd: 0.02 Old: 2.47 Old pull: 2.29 Old push: 0.18 New: 1.82 New pull: 1.53 New push: 0.29 
Epoch: 78, Total: 4.40, Push: 0.15, Pull: 3.44, Adapter: 0.001, Wd: 0.02 Old: 2.44 Old pull: 2.25 Old push: 0.18 New: 1.81 New pull: 1.52 New push: 0.29 
Epoch: 79, Total: 4.39, Push: 0.15, Pull: 3.42, Adapter: 0.001, Wd: 0.02 Old: 2.42 Old pull: 2.23 Old push: 0.18 New: 1.80 New pull: 1.51 New push: 0.29 
Epoch: 80, Total: 4.38, Push: 0.15, Pull: 3.41, Adapter: 0.001, Wd: 0.02 Old: 2.39 Old pull: 2.20 Old push: 0.19 New: 1.78 New pull: 1.48 New push: 0.30 
Epoch: 81, Total: 4.37, Push: 0.15, Pull: 3.39, Adapter: 0.001, Wd: 0.02 Old: 2.35 Old pull: 2.17 Old push: 0.19 New: 1.76 New pull: 1.46 New push: 0.30 
Epoch: 82, Total: 4.36, Push: 0.15, Pull: 3.38, Adapter: 0.001, Wd: 0.02 Old: 2.35 Old pull: 2.17 Old push: 0.19 New: 1.76 New pull: 1.46 New push: 0.30 
Epoch: 83, Total: 4.35, Push: 0.15, Pull: 3.37, Adapter: 0.001, Wd: 0.02 Old: 2.33 Old pull: 2.13 Old push: 0.19 New: 1.75 New pull: 1.44 New push: 0.31 
Epoch: 84, Total: 4.34, Push: 0.15, Pull: 3.35, Adapter: 0.001, Wd: 0.02 Old: 2.33 Old pull: 2.14 Old push: 0.19 New: 1.74 New pull: 1.43 New push: 0.31 
Epoch: 85, Total: 4.33, Push: 0.15, Pull: 3.34, Adapter: 0.001, Wd: 0.02 Old: 2.31 Old pull: 2.11 Old push: 0.20 New: 1.73 New pull: 1.42 New push: 0.31 
Epoch: 86, Total: 4.31, Push: 0.16, Pull: 3.33, Adapter: 0.001, Wd: 0.02 Old: 2.29 Old pull: 2.09 Old push: 0.20 New: 1.72 New pull: 1.41 New push: 0.31 
Epoch: 87, Total: 4.30, Push: 0.16, Pull: 3.31, Adapter: 0.001, Wd: 0.02 Old: 2.27 Old pull: 2.07 Old push: 0.20 New: 1.72 New pull: 1.41 New push: 0.31 
Epoch: 88, Total: 4.29, Push: 0.16, Pull: 3.30, Adapter: 0.001, Wd: 0.02 Old: 2.25 Old pull: 2.05 Old push: 0.20 New: 1.71 New pull: 1.39 New push: 0.31 
Epoch: 89, Total: 4.28, Push: 0.16, Pull: 3.29, Adapter: 0.001, Wd: 0.02 Old: 2.24 Old pull: 2.04 Old push: 0.20 New: 1.70 New pull: 1.38 New push: 0.32 
Epoch: 90, Total: 4.27, Push: 0.16, Pull: 3.27, Adapter: 0.001, Wd: 0.02 Old: 2.24 Old pull: 2.04 Old push: 0.20 New: 1.69 New pull: 1.37 New push: 0.32 
Epoch: 91, Total: 4.26, Push: 0.16, Pull: 3.26, Adapter: 0.001, Wd: 0.02 Old: 2.24 Old pull: 2.04 Old push: 0.20 New: 1.68 New pull: 1.36 New push: 0.32 
Epoch: 92, Total: 4.25, Push: 0.16, Pull: 3.25, Adapter: 0.001, Wd: 0.02 Old: 2.20 Old pull: 2.00 Old push: 0.20 New: 1.67 New pull: 1.35 New push: 0.33 
Epoch: 93, Total: 4.24, Push: 0.16, Pull: 3.23, Adapter: 0.001, Wd: 0.02 Old: 2.20 Old pull: 1.99 Old push: 0.20 New: 1.66 New pull: 1.33 New push: 0.33 
Epoch: 94, Total: 4.23, Push: 0.16, Pull: 3.22, Adapter: 0.001, Wd: 0.02 Old: 2.17 Old pull: 1.97 Old push: 0.21 New: 1.65 New pull: 1.32 New push: 0.33 
Epoch: 95, Total: 4.22, Push: 0.16, Pull: 3.21, Adapter: 0.001, Wd: 0.02 Old: 2.17 Old pull: 1.96 Old push: 0.21 New: 1.64 New pull: 1.30 New push: 0.33 
Epoch: 96, Total: 4.21, Push: 0.16, Pull: 3.19, Adapter: 0.001, Wd: 0.02 Old: 2.15 Old pull: 1.94 Old push: 0.21 New: 1.63 New pull: 1.30 New push: 0.34 
Epoch: 97, Total: 4.20, Push: 0.16, Pull: 3.18, Adapter: 0.001, Wd: 0.02 Old: 2.11 Old pull: 1.90 Old push: 0.21 New: 1.62 New pull: 1.28 New push: 0.34 
