Files already downloaded and verified
Files already downloaded and verified
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  96, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.709, TAw acc= 78.0% |
| Epoch  97, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.712, TAw acc= 78.2% |
| Epoch  98, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.709, TAw acc= 78.0% |
| Epoch  99, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.709, TAw acc= 78.4% |
| Epoch 100, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.705, TAw acc= 78.2% |
| Epoch 101, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.712, TAw acc= 77.7% |
| Epoch 102, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.688, TAw acc= 78.9% |
| Epoch 103, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.721, TAw acc= 77.7% |
| Epoch 104, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.714, TAw acc= 78.1% |
| Epoch 105, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.694, TAw acc= 78.6% |
| Epoch 106, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.693, TAw acc= 78.3% |
| Epoch 107, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.711, TAw acc= 78.5% |
| Epoch 108, time=  0.5s | Train: skip eval | Valid: time=  0.1s loss=0.699, TAw acc= 79.0% |
| Epoch 109, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.701, TAw acc= 78.7% |
| Epoch 110, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.714, TAw acc= 77.9% |
| Epoch 111, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.686, TAw acc= 78.5% |
| Epoch 112, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.707, TAw acc= 78.0% |
| Epoch 113, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.698, TAw acc= 79.1% |
| Epoch 114, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.708, TAw acc= 78.6% |
| Epoch 115, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.699, TAw acc= 78.0% |
| Epoch 116, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.697, TAw acc= 78.6% |
| Epoch 117, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.698, TAw acc= 78.8% |
| Epoch 118, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.687, TAw acc= 79.3% |
| Epoch 119, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.701, TAw acc= 78.4% |
| Epoch 120, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.705, TAw acc= 78.7% |
| Epoch 121, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.702, TAw acc= 78.4% |
| Epoch 122, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.705, TAw acc= 78.6% |
| Epoch 123, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.704, TAw acc= 77.6% |
| Epoch 124, time=  0.5s | Train: skip eval | Valid: time=  0.1s loss=0.685, TAw acc= 79.1% |
| Epoch 125, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.680, TAw acc= 78.4% |
| Epoch 126, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.686, TAw acc= 79.4% |
